mri_image_path,mri_source_class,mri_pred_class_idx,mri_prob_mild_impairment,mri_prob_moderate_impairment,mri_prob_no_impairment,mri_prob_very_mild_impairment
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1019).jpg,No Impairment,2,0.020535195246338844,5.148784794073435e-07,0.9671675562858582,0.012296700850129128
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (102).jpg,No Impairment,2,4.754814654006623e-05,8.358462810775791e-10,0.9995689988136292,0.00038346819928847253
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1020).jpg,No Impairment,2,0.0020626047626137733,1.2419312952260952e-05,0.9896335601806641,0.008291387930512428
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1021).jpg,No Impairment,2,0.0016846604412421584,1.099488144973293e-06,0.9979451298713684,0.0003691250749398023
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1022).jpg,No Impairment,2,0.0427548810839653,1.2254964531166479e-05,0.8420382142066956,0.11519459635019302
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1023).jpg,No Impairment,2,0.004288617055863142,1.274043825105764e-06,0.9924128651618958,0.003297283314168453
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1024).jpg,No Impairment,2,1.0497705261514056e-05,4.8675165231770734e-08,0.9968917965888977,0.003097603330388665
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1025).jpg,No Impairment,2,1.2390454685373697e-05,1.3874300819338714e-08,0.9721286296844482,0.027858899906277657
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1026).jpg,No Impairment,2,4.986839849152602e-05,1.3438142154598154e-08,0.9847341179847717,0.015216068364679813
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1027).jpg,No Impairment,2,6.951310638214636e-08,1.0969490290071993e-12,0.9999923706054688,7.5095531428814866e-06
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1028).jpg,No Impairment,2,0.000162464493769221,1.3615951502288226e-05,0.9062662720680237,0.09355763345956802
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1029).jpg,No Impairment,2,0.006650710478425026,6.106533305683115e-07,0.9437226057052612,0.04962597414851189
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (103).jpg,No Impairment,2,0.004408407025039196,6.558592303917976e-06,0.5097883343696594,0.4857966899871826
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1030).jpg,No Impairment,3,0.2437598705291748,5.488282113219611e-07,0.3283703923225403,0.42786917090415955
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1031).jpg,No Impairment,3,0.04379891976714134,1.3299224519869313e-05,0.34473252296447754,0.6114552021026611
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1032).jpg,No Impairment,2,0.00011758175969589502,7.250906151057279e-07,0.9946190118789673,0.005262670572847128
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1033).jpg,No Impairment,2,0.00017184104945044965,6.345531437546015e-05,0.9230440855026245,0.0767206996679306
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1034).jpg,No Impairment,2,1.7784843464596634e-07,5.0920254124342534e-11,0.999967098236084,3.282471152488142e-05
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1035).jpg,No Impairment,2,2.0980494355171686e-06,3.731662090444843e-08,0.9976143836975098,0.0023835005704313517
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1036).jpg,No Impairment,2,0.0014328385004773736,1.443135170120513e-05,0.9976673722267151,0.0008852901519276202
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1037).jpg,No Impairment,2,3.6920491766068153e-06,3.185675367944896e-08,0.997751772403717,0.0022445358335971832
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1038).jpg,No Impairment,2,0.023746808990836143,1.3112188753439113e-05,0.9392820596694946,0.0369579903781414
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1039).jpg,No Impairment,2,5.7431116147199646e-05,9.734090200552714e-10,0.9989616870880127,0.0009809131734073162
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (104).jpg,No Impairment,2,5.2738425438292325e-05,4.133996256427963e-08,0.9975103139877319,0.0024368371814489365
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1040).jpg,No Impairment,2,2.3739653443044517e-06,1.0003797257240876e-07,0.9621509313583374,0.03784651681780815
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1041).jpg,No Impairment,2,0.00010801117605296895,4.800073384103598e-06,0.9926714897155762,0.007215724792331457
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1042).jpg,No Impairment,2,2.7159941851095937e-07,3.3498825935396326e-09,0.9999302625656128,6.950512033654377e-05
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1043).jpg,No Impairment,2,1.3131528248777613e-05,2.0635734188090282e-07,0.9994863271713257,0.0005003325641155243
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1044).jpg,No Impairment,2,3.1286774174077436e-05,2.2410977962294965e-08,0.9859709143638611,0.013997764326632023
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1045).jpg,No Impairment,2,0.013381857424974442,7.582544370166033e-09,0.8953939080238342,0.09122414886951447
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1046).jpg,No Impairment,2,0.00014464779815170914,1.469035737500235e-07,0.9968660473823547,0.0029892451129853725
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1047).jpg,No Impairment,2,0.012447048909962177,4.988959290130879e-07,0.9114188551902771,0.07613358646631241
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1048).jpg,No Impairment,2,2.9261616418807535e-06,2.8971347543205184e-09,0.9988681077957153,0.0011289770482107997
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1049).jpg,No Impairment,2,0.03620011731982231,9.82347614808532e-07,0.8248045444488525,0.13899436593055725
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (105).jpg,No Impairment,2,0.003097960725426674,6.165356171550229e-05,0.8369450569152832,0.1598953753709793
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1050).jpg,No Impairment,2,0.0007064976962283254,2.3496367074216096e-09,0.9703376889228821,0.028955798596143723
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1051).jpg,No Impairment,2,3.3525366234243847e-06,1.1221657381099703e-08,0.9974071383476257,0.0025894688442349434
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1052).jpg,No Impairment,2,6.200257485033944e-05,1.3397020381944458e-07,0.9998863935470581,5.151815639692359e-05
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1053).jpg,No Impairment,2,1.173048894997919e-05,2.5896794042523652e-08,0.9986048340797424,0.001383387017995119
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1054).jpg,No Impairment,2,0.0008889943710528314,1.9873378676038556e-07,0.9789460301399231,0.02016475424170494
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1055).jpg,No Impairment,2,0.0002528655750211328,5.752290235250257e-07,0.7894164323806763,0.21033014357089996
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1056).jpg,No Impairment,3,0.010959988459944725,4.737378912977874e-05,0.4790719449520111,0.5099206566810608
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1057).jpg,No Impairment,2,2.050539023912279e-06,2.09253414595878e-08,0.9999536275863647,4.4337350118439645e-05
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1058).jpg,No Impairment,2,2.296799948453554e-06,5.586032081339454e-09,0.9997327923774719,0.0002648844965733588
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1059).jpg,No Impairment,2,2.1532233063226158e-07,8.041442511874664e-10,0.9998052716255188,0.0001945452531799674
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (106).jpg,No Impairment,2,0.00031156555633060634,1.4700801687084208e-10,0.9962736368179321,0.003414860926568508
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1060).jpg,No Impairment,2,0.014051094651222229,1.0545518307480961e-06,0.9163355827331543,0.06961219757795334
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1061).jpg,No Impairment,2,2.3208704078570008e-05,1.7974678030441282e-06,0.9952202439308167,0.004754772409796715
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1062).jpg,No Impairment,2,0.021365653723478317,2.281237598822372e-08,0.9713484644889832,0.007285849191248417
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1063).jpg,No Impairment,2,0.000593373435549438,2.7245782019402753e-11,0.9659222960472107,0.033484384417533875
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1064).jpg,No Impairment,2,7.383348474832019e-06,5.517982515357289e-08,0.9977946281433105,0.0021978765726089478
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1065).jpg,No Impairment,2,1.6856429283507168e-05,1.3821438438199607e-09,0.9990158081054688,0.0009673097520135343
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1066).jpg,No Impairment,2,0.010974728502333164,2.5191596364493307e-07,0.979525089263916,0.009499982930719852
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1067).jpg,No Impairment,2,0.0010487311519682407,2.699752315038495e-07,0.996385931968689,0.002565038623288274
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1068).jpg,No Impairment,2,0.05599122866988182,9.105854405788705e-05,0.7764044404029846,0.16751328110694885
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1069).jpg,No Impairment,2,0.004225399345159531,9.957329893950373e-07,0.8131442070007324,0.1826293021440506
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (107).jpg,No Impairment,2,1.421551587554859e-05,9.942749748526047e-13,0.9998875856399536,9.824668086366728e-05
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1070).jpg,No Impairment,2,0.00014743559586349875,3.4748983690491286e-09,0.9798716902732849,0.01998094469308853
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1071).jpg,No Impairment,2,0.015784958377480507,9.298698842030717e-07,0.9456246495246887,0.03858944773674011
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1072).jpg,No Impairment,2,0.0005025345017202199,1.6977035102172522e-06,0.9908135533332825,0.008682266809046268
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1073).jpg,No Impairment,2,0.010185247287154198,2.7155228963238187e-06,0.9653775691986084,0.024434426799416542
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1074).jpg,No Impairment,2,0.02160453237593174,3.5608679809229216e-06,0.9532528519630432,0.02513897977769375
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1075).jpg,No Impairment,2,0.014251109212636948,6.371738692223516e-08,0.967944860458374,0.017803853377699852
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1076).jpg,No Impairment,2,0.001614763168618083,1.2119736538807047e-06,0.9938126802444458,0.004571298137307167
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1077).jpg,No Impairment,2,4.811227540812979e-07,1.1279895767435377e-10,0.9999451637268066,5.4407515563070774e-05
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1078).jpg,No Impairment,2,0.0025615468621253967,9.352522090111393e-10,0.9963560104370117,0.0010825252393260598
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1079).jpg,No Impairment,2,0.20742493867874146,1.021405182655144e-07,0.6609715223312378,0.1316034346818924
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (108).jpg,No Impairment,2,9.71134941210039e-05,3.223413203023995e-10,0.9938576817512512,0.006045212969183922
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1080).jpg,No Impairment,2,4.308909410610795e-05,9.822797436553898e-11,0.9979571104049683,0.001999841770157218
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1081).jpg,No Impairment,2,0.0011484260903671384,1.6097705213269364e-07,0.9817596673965454,0.017091812565922737
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1082).jpg,No Impairment,2,0.021996453404426575,6.774976100132335e-07,0.9769719243049622,0.00103094894438982
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1083).jpg,No Impairment,2,0.0021734177134931087,1.6483940612488368e-07,0.9858659505844116,0.011960486881434917
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1084).jpg,No Impairment,2,0.0015506133204326034,1.1436907421114029e-08,0.9707489609718323,0.027700386941432953
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1085).jpg,No Impairment,2,0.021739397197961807,3.1582749215885997e-07,0.6733260750770569,0.30493423342704773
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1086).jpg,No Impairment,2,2.0015611426060786e-06,1.3784960728457918e-08,0.9990352392196655,0.0009627847466617823
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1087).jpg,No Impairment,2,1.1358081053458591e-07,4.459443037063693e-09,0.9999971389770508,2.7889204829989467e-06
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1088).jpg,No Impairment,2,0.0022170369047671556,0.00020698150910902768,0.9966291785240173,0.0009467664058320224
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1089).jpg,No Impairment,2,0.00022809012443758547,6.126574358944481e-09,0.901238203048706,0.0985337644815445
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (109).jpg,No Impairment,2,0.002809411846101284,1.0284684215378093e-08,0.9114438891410828,0.08574662357568741
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1090).jpg,No Impairment,2,0.010514292865991592,3.103110435276335e-09,0.94224613904953,0.047239627689123154
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1091).jpg,No Impairment,2,0.001302434247918427,2.161517187460049e-09,0.9543960690498352,0.04430145397782326
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1092).jpg,No Impairment,2,0.24013783037662506,4.1243747546104714e-06,0.7088084816932678,0.051049526780843735
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1093).jpg,No Impairment,2,0.003069730242714286,7.286038226084202e-07,0.8597670793533325,0.1371624618768692
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1094).jpg,No Impairment,2,0.00026928982697427273,4.96870461574872e-06,0.9883264899253845,0.011399231851100922
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1095).jpg,No Impairment,2,5.098411565995775e-05,2.6042219491984042e-09,0.9993483424186707,0.0006006614421494305
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1096).jpg,No Impairment,2,0.0049916282296180725,4.152317615080392e-06,0.9617280960083008,0.03327619284391403
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1097).jpg,No Impairment,2,0.01212441548705101,3.4127599519706564e-06,0.9579620361328125,0.029910216107964516
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1098).jpg,No Impairment,2,0.07831773906946182,8.984181931737112e-07,0.8788904547691345,0.04279085993766785
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1099).jpg,No Impairment,2,6.924095714566647e-07,4.23494572743266e-12,0.9902706146240234,0.009728660807013512
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (11).jpg,No Impairment,2,0.00015603721840307117,4.0220879959917966e-09,0.9979593753814697,0.0018845918821170926
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (110).jpg,No Impairment,2,0.0001556175557198003,2.9614952268275374e-08,0.9916326403617859,0.008211735635995865
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1100).jpg,No Impairment,2,0.001737323822453618,6.398708137567155e-06,0.9978185892105103,0.0004377297009341419
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1101).jpg,No Impairment,2,0.007715814281255007,3.543813363648951e-05,0.6917651891708374,0.30048349499702454
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1102).jpg,No Impairment,2,0.0004964857362210751,2.595771775304456e-07,0.9956896901130676,0.0038135081995278597
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1103).jpg,No Impairment,2,0.00010512459266465157,1.5530635266713944e-07,0.9955294728279114,0.004365256056189537
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1104).jpg,No Impairment,2,3.1934905564412475e-05,2.599468729158616e-08,0.958588719367981,0.041379231959581375
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1105).jpg,No Impairment,2,0.011473589576780796,2.851108504842159e-08,0.7900048494338989,0.1985214650630951
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1106).jpg,No Impairment,2,0.0001055122702382505,8.882358182304984e-10,0.9938464760780334,0.006047981791198254
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1107).jpg,No Impairment,0,0.7326538562774658,7.551419116680336e-07,0.26226550340652466,0.005079873371869326
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1108).jpg,No Impairment,2,1.4827048744336935e-07,2.4496604744683736e-10,0.9998916387557983,0.00010817727161338553
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1109).jpg,No Impairment,2,0.04048173129558563,2.86628119283705e-06,0.8115153908729553,0.14800003170967102
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (111).jpg,No Impairment,2,0.0002536364772822708,1.8676273635248597e-12,0.9983260035514832,0.0014204276958480477
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1110).jpg,No Impairment,2,0.00021810800535604358,2.3183878511190414e-05,0.8754546046257019,0.12430404871702194
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1111).jpg,No Impairment,2,0.0039015640504658222,1.6075521216407651e-06,0.9867715239524841,0.009325308725237846
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1112).jpg,No Impairment,2,0.022132618352770805,4.333729819450127e-08,0.8590714931488037,0.11879580467939377
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1113).jpg,No Impairment,2,0.05606815963983536,3.021188831553445e-06,0.6648493409156799,0.27907952666282654
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1114).jpg,No Impairment,2,8.395375516556669e-06,1.708932551025555e-08,0.9914531707763672,0.00853846874088049
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1115).jpg,No Impairment,2,3.942208786611445e-05,1.7154124520857295e-07,0.9957770109176636,0.0041832816787064075
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1116).jpg,No Impairment,2,0.00011454729246906936,3.4269738534931093e-05,0.9047122001647949,0.0951390266418457
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1117).jpg,No Impairment,2,3.716873919756836e-08,5.934094882142915e-10,0.9999788999557495,2.1074443793622777e-05
